# match log for nfl2k5_retail_team_history.csv (nflverse-data (https://github.com/nflverse/nflverse-data), CC-BY-4.0)
# players with game seasons: 1325; exact: 835; last name + DOB: 313; ambiguous: 5; none: 172
# season rows: 5068 of 5867 have a team; per year: 1982: 1/1, 1983: 1/1, 1984: 1/1, 1985: 3/3, 1986: 4/4, 1987: 6/7, 1988: 10/12, 1989: 11/12, 1990: 15/17, 1991: 27/29, 1992: 40/44, 1993: 59/70, 1994: 94/109, 1995: 142/163, 1996: 216/243, 1997: 291/327, 1998: 376/421, 1999: 459/531, 2000: 580/678, 2001: 751/876, 2002: 929/1076, 2003: 1052/1242
   0 Duane Starks 1974-05-23: exact 00-0015577; covered [1998, 1999, 2000, 2001, 2002]; missing []
 376 Greg Ellis 1975-08-14: fallback_dob 00-0004851; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 377 Marcellus Wiley 1974-11-30: exact 00-0017670; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 378 Kenyon Coleman 1979-04-10: exact 00-0021262; covered [2002, 2003]; missing []
 379 Eric Ogbogu 1975-07-18: exact 00-0012320; covered [1998, 1999, 2001, 2002, 2003]; missing []
 380 La'Roi Glover 1974-07-04: exact 00-0006051; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 381 Willie Blade 1979-02-07: exact 00-0020433; covered [2002, 2003]; missing []
 382 Leonardo Carson 1977-02-11: exact 00-0019671; covered [2000, 2001, 2002, 2003]; missing []
 383 Daleroy Stewart 1978-11-01: exact 00-0020538; covered [2001]; missing []
 384 Richie Anderson 1971-09-13: fallback_dob 00-0000339; covered [1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 385 Jamar Martin 1980-04-12: exact 00-0021387; covered []; missing [2002]
 386 Roy Williams 1980-08-14: exact 00-0021143; covered [2002, 2003]; missing []
 392 Aveion Cason 1979-07-12: exact 00-0019794; covered [2001, 2002, 2003]; missing []
 393 Erik Bickerstaff 1979-10-12: none; seasons [2002]
 394 Dat Nguyen 1975-09-25: exact 00-0012085; covered [1999, 2000, 2001, 2002, 2003]; missing []
 395 Jamal Brooks 1976-11-09: exact 00-0018994; covered []; missing [2002]
 396 Billy Cundiff 1980-03-30: fallback_dob 00-0020972; covered [2002, 2003]; missing []
 397 Alshermond Singleton 1975-08-07: exact 00-0014991; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 398 Dexter Coakley 1972-10-20: fallback_dob 00-0003140; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 399 Markus Steele 1979-07-24: exact 00-0020408; covered [2001, 2002, 2003]; missing []
 401 Quincy Carter 1977-10-13: fallback_dob 00-0020404; covered [2001, 2002, 2003]; missing []
 402 Vinny Testaverde 1963-11-13: fallback_dob 00-0016193; covered [1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 404 Chad Hutchinson 1977-02-21: exact 00-0020562; covered [2002, 2003]; missing []
 405 Darren Woodson 1969-04-25: exact 00-0018228; covered [1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 406 Tony Dixon 1979-06-18: exact 00-0020419; covered [2001, 2002, 2003]; missing []
 412 Dan Campbell 1976-04-13: fallback_dob 00-0002565; covered [1999, 2000, 2001, 2002, 2003]; missing []
 413 Jason Witten 1982-05-06: fallback_dob 00-0022127; covered [2003]; missing []
 415 Jeff Robinson 1970-02-20: fallback_dob 00-0013872; covered [1993, 1994, 1995, 1996, 1997, 1998, 2003]; missing []; unmapped ['1999:LA (team code LA in 1999: ambiguous: use RAM (Rams) or RAI (Raiders))', '2000:LA (team code LA in 2000: ambiguous: use RAM (Rams) or RAI (Raiders))', '2001:LA (team code LA in 2001: ambiguous: use RAM (Rams) or RAI (Raiders))']
 416 Keyshawn Johnson 1972-07-22: exact 00-0008561; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 417 Terry Glenn 1974-07-23: exact 00-0006043; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 418 Antonio Bryant 1981-03-09: exact 00-0021191; covered [2002, 2003]; missing []
 420 Zuriel Smith 1980-01-15: exact 00-0022024; covered [2003]; missing []
 424 Champ Bailey 1980-02-14: none; seasons [1999, 2000, 2001, 2002, 2003]
 425 Kelly Herndon 1973-11-10: none; seasons [2002, 2003]
 426 Lenny Walls 1977-10-06: none; seasons [2002, 2003]
 427 Willie Middlebrooks 1981-04-14: none; seasons [2001, 2002, 2003]
 430 Trevor Pryce 1979-01-20: none; seasons [1997, 1998, 1999, 2000, 2001, 2002, 2003]
 431 Reggie Hayward 1971-01-04: none; seasons [2001, 2002, 2003]
 432 Marco Coleman 1974-01-05: none; seasons [1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]
 433 Raylee Johnson 1982-08-04: fallback_dob 00-0022614; covered []; missing [1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 2003]
 434 Mario Fatafehi 1974-11-27: none; seasons [2001, 2002, 2003]
 435 Darius Holland 1978-01-05: none; seasons [1995, 1996, 1997, 1998, 1999, 2000, 2002, 2003]
 436 Luther Elliss 1980-11-16: none; seasons [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]
 437 Monsanto Pope 1975-08-03: none; seasons [2002, 2003]
 438 Mike Anderson 1978-06-22: none; seasons [2000, 2001, 2002, 2003]
 439 Reuben Droughns 1980-05-29: none; seasons [2001, 2002, 2003]
 440 Nick Ferguson 1980-06-09: none; seasons [2000, 2001, 2002, 2003]
 441 Sam Brandon 1977-08-11: none; seasons [2002, 2003]
 444 Cooper Carlisle 1972-01-18: none; seasons [2000, 2001]
 445 Garrison Hearst 1976-11-03: none; seasons [1993, 1994, 1995, 1996, 1997, 1998, 2001, 2002, 2003]
 446 Quentin Griffin 1977-08-18: none; seasons [2003]
 449 Al Wilson 1980-01-23: none; seasons [1999, 2000, 2001, 2002, 2003]
 450 Terry Pierce 1979-11-02: none; seasons [2003]
 451 Jason Elam 1973-03-22: none; seasons [1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]
 452 John Mobley 1971-05-13: none; seasons [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]
 454 Jashon Sykes 1972-02-26: none; seasons [2002]
 455 Donnie Spragan 1974-01-09: none; seasons [2002, 2003]
 456 Micah Knorr 1976-10-18: none; seasons [2000, 2001, 2002, 2003]
 457 Jake Plummer 1978-01-27: none; seasons [1997, 1998, 1999, 2000, 2001, 2002, 2003]
 458 Danny Kanell 1977-11-15: none; seasons [1996, 1997, 1998, 1999, 2000, 2003]
 460 John Lynch 1980-03-23: none; seasons [1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]
 461 Kenoy Kennedy 1981-10-20: none; seasons [2000, 2001, 2002, 2003]
 464 Dwayne Carswell 1971-10-17: none; seasons [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]
 466 Jed Weaver 1982-07-20: none; seasons [1999, 2000, 2001, 2002, 2003]
 467 O.J. Santiago 1978-12-12: none; seasons [1997, 1998, 1999, 2001, 2003]
 468 Byron Chamberlain 1979-03-01: none; seasons [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]
 469 Rod Smith 1982-04-27: none; seasons [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]
 470 Ashley Lelie 1974-01-13: none; seasons [2002, 2003]
 472 Adrian Madise 1979-02-12: none; seasons [2003]
 475 Mike Leach 1980-02-16: none; seasons [2000, 2001]
 477 Fernando Bryant 1977-03-26: exact 00-0002138; covered [1999, 2000, 2001, 2002, 2003]; missing []
 478 Dre' Bly 1977-05-22: fallback_dob 00-0001388; covered [1999, 2000, 2001, 2002, 2003]; missing []
 479 Chris Cash 1980-07-13: fallback_dob 00-0021288; covered [2002]; missing []
 480 Andre' Goodman 1978-08-11: exact 00-0021194; covered [2002, 2003]; missing []
 481 Dainon Sidney 1975-05-30: exact 00-0014859; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 483 Robert Porcher 1969-07-30: exact 00-0013118; covered [1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 484 James Hall 1977-02-04: exact 00-0019387; covered [2000, 2001, 2002, 2003]; missing []
 485 Kalimba Edwards 1979-12-26: exact 00-0021165; covered [2002, 2003]; missing []
 486 Shaun Rogers 1979-03-12: exact 00-0020528; covered [2001, 2002, 2003]; missing []
 487 Dan Wilkinson 1973-03-13: fallback_dob 00-0017698; covered [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 488 Marcus Bell 1979-06-01: exact 00-0020297; covered [2001, 2002, 2003]; missing []
 489 Kelvin Pritchett 1969-10-24: exact 00-0013261; covered [1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 490 Cory Redding 1980-11-15: exact 00-0021998; covered [2003]; missing []
 491 Cory Schlesinger 1972-06-23: exact 00-0014450; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 492 Brock Marion 1970-06-11: exact 00-0010381; covered [1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 493 Terrence Holt 1980-03-05: exact 00-0021953; covered [2003]; missing []
 498 Shawn Bryson 1976-08-26: none; seasons [2000, 2001, 2002, 2003]
 499 Artose Pinner 1978-01-05: exact 00-0022006; covered [2003]; missing []
 500 Olandis Gary 1975-05-18: exact 00-0005816; covered [1999, 2000, 2001, 2002, 2003]; missing []
 501 Paul Smith 1978-01-31: exact 00-0019673; covered [2000, 2001, 2002, 2003]; missing []
 502 Avon Cobourne 1979-03-06: exact 00-0021528; covered [2003]; missing []
 503 Earl Holmes 1973-04-28: exact 00-0007652; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 504 Wali Rainer 1977-04-19: exact 00-0013375; covered [1999, 2000, 2001, 2002, 2003]; missing []
 505 Jason Hanson 1970-06-17: exact 00-0006800; covered [1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 506 Boss Bailey 1979-10-14: fallback_dob 00-0022048; covered [2003]; missing []
 509 James Davis 1979-04-28: none; seasons [2003]
 510 Donte' Curry 1978-07-22: exact 00-0019852; covered [2001, 2002, 2003]; missing []
 511 Nick Harris 1978-07-23: fallback_dob 00-0020267; covered [2001, 2002, 2003]; missing []
 512 Joey Harrington 1978-10-21: fallback_dob 00-0021141; covered [2002, 2003]; missing []
 513 Mike McMahon 1979-02-08: fallback_dob 00-0020308; covered [2001, 2002, 2003]; missing []
 514 Rick Mirer 1970-03-19: exact 00-0011378; covered [1993, 1994, 1995, 1996, 1997, 2000, 2001, 2003]; missing []
 515 Brian Walker 1972-05-31: exact 00-0017013; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 516 Bracy Walker 1970-10-28: exact 00-0017012; covered [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 520 Stephen Alexander 1975-11-07: exact 00-0000166; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 521 Casey Fitzsimmons 1980-10-10: exact 00-0021525; covered [2003]; missing []
 522 Brad Banta 1970-12-14: fallback_dob 00-0000727; covered [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]; missing []
 523 Charles Rogers 1981-05-23: exact 00-0022072; covered [2003]; missing []
 525 Tai Streets 1977-04-20: exact 00-0015811; covered [1999, 2000, 2001, 2002, 2003]; missing []
 526 Az-zahir Hakim 1977-06-03: exact 00-0006627; covered [1998, 2002, 2003]; missing []; unmapped ['1999:LA (team code LA in 1999: ambiguous: use RAM (Rams) or RAI (Raiders))', '2000:LA (team code LA in 2000: ambiguous: use RAM (Rams) or RAI (Raiders))', '2001:LA (team code LA in 2001: ambiguous: use RAM (Rams) or RAI (Raiders))']
 527 Scotty Anderson 1979-11-24: fallback_dob 00-0020370; covered [2001, 2002, 2003]; missing []
 528 Reggie Swinton 1975-07-24: fallback_dob 00-0015980; covered [2001, 2002, 2003]; missing []
 530 Mike McKenzie 1976-04-26: fallback_dob 00-0010944; covered [1999, 2000, 2001, 2002, 2003]; missing []
 531 Al Harris 1974-12-07: fallback_dob 00-0006915; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 533 Michael Hawthorne 1977-01-26: exact 00-0019498; covered [2000, 2001, 2002, 2003]; missing []
 534 Bhawoh Jue 1979-05-24: exact 00-0020367; covered [2001, 2003]; missing []
 535 James Whitley 1979-05-13: exact 00-0020600; covered [2002, 2003]; missing []
 537 Chris Watson 1977-06-30: exact 00-0017299; covered [1999, 2000, 2001, 2002]; missing []
 538 Chukie Nwokorie 1975-07-10: fallback_dob 00-0012229; covered [1999, 2000, 2001, 2002, 2003]; missing []
 539 Kabeer Gbaja-Biamila 1977-09-27: none; seasons [2000, 2001, 2002, 2003]
 540 Aaron Kampman 1979-11-30: exact 00-0021269; covered [2002, 2003]; missing []
 541 Larry Smith 1974-12-04: exact 00-0015247; covered [1999, 2000, 2001, 2002, 2003]; missing []
 542 Grady Jackson 1973-01-21: exact 00-0008124; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 543 Cletidus Hunt 1976-01-02: exact 00-0007929; covered [1999, 2000, 2001, 2002, 2003]; missing []
 545 Kenny Peterson 1978-11-21: fallback_dob 00-0022002; covered [2003]; missing []
 547 William Henderson 1971-02-19: exact 00-0007254; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 548 Nicolas Luchey 1977-03-30: fallback_dob 00-0017896; covered [1999, 2000, 2001, 2002, 2003]; missing []
 549 Mark Roman 1977-03-26: exact 00-0019724; covered [2000, 2001, 2002, 2003]; missing []
 550 Curtis Fuller 1978-07-05: none; seasons [2001, 2002, 2003]
 554 Ahman Green 1977-02-16: exact 00-0006305; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 555 Tony Fisher 1979-10-12: fallback_dob 00-0020964; covered [2002, 2003]; missing []
 556 Najeh Davenport 1979-02-08: exact 00-0021252; covered [2002, 2003]; missing []
 557 Nick Barnett 1981-05-27: fallback_dob 00-0021990; covered [2003]; missing []
 558 Torrance Marshall 1977-06-12: exact 00-0020431; covered [2001, 2002, 2003]; missing []
 559 Armegis Spearman 1978-04-05: exact 00-0019115; covered [2001, 2003]; missing []
 560 Ryan Longwell 1974-08-16: exact 00-0010072; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 561 Hannibal Navies 1977-01-19: none; seasons [1999, 2000, 2001, 2002, 2003]
 562 Na'il Diggs 1978-07-08: exact 00-0019467; covered [2000, 2001, 2002, 2003]; missing []
 563 Paris Lenon 1977-11-26: exact 00-0019104; covered [2002, 2003]; missing []
 565 Brett Favre 1969-10-10: exact 00-0005106; covered [1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 566 Tim Couch 1980-03-09: none; seasons [1999, 2000, 2001, 2002, 2003]
 567 Doug Pederson 1968-01-31: fallback_dob 00-0012726; covered [1993, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 568 Darren Sharper 1975-11-03: exact 00-0014724; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 569 Marques Anderson 1979-05-26: exact 00-0021217; covered [2002, 2003]; missing []
 573 Bubba Franks 1978-01-06: fallback_dob 00-0019644; covered [2000, 2001, 2002, 2003]; missing []
 574 David Martin 1979-03-13: exact 00-0020332; covered [2001, 2002, 2003]; missing []
 575 Robert Ferguson 1979-12-17: exact 00-0020428; covered [2001, 2002, 2003]; missing []
 576 Donald Driver 1975-02-02: exact 00-0004541; covered [1999, 2000, 2001, 2002, 2003]; missing []
 577 Javon Walker 1978-10-14: exact 00-0021153; covered [2002, 2003]; missing []
 578 Antonio Chatman 1979-02-12: exact 00-0019997; covered [2003]; missing []
 581 Rob Davis 1968-12-10: fallback_dob 00-0004038; covered [1996, 1998, 1999, 2000, 2001]; missing []
 583 Nicholas Harper 1974-09-10: exact 00-0019733; covered [2002, 2003]; missing []
 584 Joseph Jefferson 1980-02-15: exact 00-0021199; covered [2003]; missing []
 587 Donald Strickland 1980-11-24: exact 00-0022158; covered [2003]; missing []
 588 Raheem Brock 1978-06-10: exact 00-0021340; covered [2002, 2003]; missing []
 589 Dwight Freeney 1980-02-19: exact 00-0021146; covered [2002, 2003]; missing []
 590 Brad Scioli 1976-09-06: exact 00-0014530; covered [1999, 2000, 2001, 2002, 2003]; missing []
 591 Larry Tripplett 1979-01-18: exact 00-0021171; covered [2002, 2003]; missing []
 592 Montae Reagor 1977-06-29: fallback_dob 00-0013471; covered [1999, 2000, 2001, 2002, 2003]; missing []
 593 Josh Williams 1976-08-09: exact 00-0019529; covered [2000, 2001, 2002, 2003]; missing []
 595 Idrees Bashir 1978-12-07: exact 00-0020468; covered [2001, 2002, 2003]; missing []
 596 Anthony Floyd 1981-02-02: none; seasons [2003]
 600 Edgerrin James 1978-08-01: exact 00-0008241; covered [1999, 2000, 2001, 2002, 2003]; missing []
 601 Dominic Rhodes 1979-01-17: exact 00-0019863; covered [2001, 2003]; missing []
 602 James Mungro 1978-02-13: exact 00-0020700; covered [2002, 2003]; missing []
 604 Rob Morris 1975-01-18: fallback_dob 00-0019698; covered [2000, 2001, 2002, 2003]; missing []
 605 Jim Nelson 1975-04-16: fallback_dob 00-0012005; covered [1999, 2000, 2001, 2002, 2003]; missing []
 607 Mike Vanderjagt 1970-03-24: fallback_dob 00-0016830; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 609 Gary Brackett 1980-05-23: exact 00-0021484; covered [2003]; missing []
 610 David Thornton 1978-11-01: exact 00-0021230; covered [2002, 2003]; missing []
 611 Cato June 1979-11-18: exact 00-0022065; covered [2003]; missing []
 614 Hunter Smith 1977-08-09: exact 00-0015194; covered [1999, 2000, 2001, 2002, 2003]; missing []
 615 Peyton Manning 1976-03-24: exact 00-0010346; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 616 Cory Sauter 1974-11-21: exact 00-0014384; covered []; missing [2001]
 619 Mike Doss 1981-03-24: fallback_dob 00-0022162; covered [2003]; missing []
 621 Cory Bird 1978-08-10: exact 00-0020477; covered [2001, 2002, 2003]; missing []
 626 Marcus Pollard 1972-02-08: exact 00-0013080; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 627 Dallas Clark 1979-06-12: exact 00-0022165; covered [2003]; missing []
 629 Reggie Wayne 1978-11-17: fallback_dob 00-0020498; covered [2001, 2002, 2003]; missing []
 630 Marvin Harrison 1972-08-25: exact 00-0007024; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 631 Brandon Stokley 1976-06-23: exact 00-0015754; covered [1999, 2000, 2001, 2002, 2003]; missing []
 632 Troy Walters 1976-12-15: exact 00-0019552; covered [2000, 2001, 2002, 2003]; missing []
 633 Aaron Moorehead 1980-11-05: exact 00-0021780; covered [2003]; missing []
 635 Justin Snow 1976-12-21: exact 00-0019188; covered [2000, 2001]; missing []
 636 Juran Bolden 1974-06-27: exact 00-0001427; covered [1996, 1997, 1998, 1999, 2002, 2003]; missing []
 637 Rashean Mathis 1980-08-27: exact 00-0022080; covered [2003]; missing []
 638 Dewayne Washington 1972-12-27: exact 00-0017241; covered [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 639 Kiwaukee Thomas 1977-06-19: exact 00-0019485; covered [2000, 2001, 2002, 2003]; missing []
 641 Tony Brackens 1974-12-26: exact 00-0001623; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 642 Hugh Douglas 1971-08-23: exact 00-0004470; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 643 Paul Spicer 1975-08-18: exact 00-0015468; covered [1999, 2000, 2001, 2002, 2003]; missing []
 644 Lionel Barnes 1976-04-19: exact 00-0000780; covered [2000, 2001, 2003]; missing []
 646 Marcus Stroud 1978-06-25: exact 00-0020492; covered [2001, 2002, 2003]; missing []
 647 John Henderson 1979-01-09: exact 00-0021144; covered [2002, 2003]; missing []
 648 Rob Meier 1977-08-29: fallback_dob 00-0018970; covered [2000, 2001, 2002, 2003]; missing []
 650 Marc Edwards 1974-11-17: exact 00-0004768; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 651 Chris Fuamatu-Ma'afala 1977-03-04: exact 00-0005620; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 652 Deon Grant 1979-03-14: exact 00-0019560; covered [2001, 2002, 2003]; missing []
 656 Fred Taylor 1976-06-27: none; seasons [1998, 1999, 2000, 2001, 2002, 2003]
 658 LaBrandon Toefield 1980-09-24: exact 00-0022057; covered [2003]; missing []
 659 David Allen 1978-02-09: none; seasons [2003]
 660 Mike Peterson 1976-06-17: fallback_dob 00-0012871; covered [1999, 2000, 2001, 2002, 2003]; missing []
 663 Greg Favors 1974-09-30: fallback_dob 00-0005105; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 664 Akin Ayodele 1979-09-17: fallback_dob 00-0021214; covered [2002, 2003]; missing []
 665 Tommy Hendricks 1978-10-23: fallback_dob 00-0019247; covered [2000, 2001, 2002, 2003]; missing []
 666 Hakim Akbar 1980-08-11: fallback_dob 00-0020330; covered [2001, 2002]; missing []
 668 Chris Hanson 1976-10-25: fallback_dob 00-0006799; covered [2002, 2003]; missing []
 669 Byron Leftwich 1980-01-14: exact 00-0022177; covered [2003]; missing []
 670 David Garrard 1978-02-14: exact 00-0021231; covered [2002, 2003]; missing []
 672 Donovin Darius 1975-08-12: exact 00-0003897; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 673 Anthony Mitchell 1974-12-13: exact 00-0011390; covered [2000, 2001, 2002, 2003]; missing []
 678 Kyle Brady 1972-01-14: exact 00-0001661; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 679 Chris Luzar 1979-02-12: fallback_dob 00-0021090; covered [2002, 2003]; missing []
 680 Jimmy Smith 1969-02-09: exact 00-0015218; covered [1992, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 682 Troy Edwards 1977-04-17: none; seasons [1999, 2000, 2001, 2002, 2003]
 684 Matthew Hatchette 1974-05-01: exact 00-0007103; covered [1997, 1998, 1999, 2000, 2001, 2003]; missing []
 685 Jermaine Lewis 1974-10-16: exact 00-0009869; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 688 Joe Zelenka 1976-03-09: fallback_dob 00-0018486; covered [1999, 2000]; missing []
 689 Eric Warfield 1976-03-03: exact 00-0017193; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 690 Dexter McCleon 1973-10-09: exact 00-0010699; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 691 William Bartee 1977-06-25: exact 00-0019655; covered [2000, 2001, 2002, 2003]; missing []
 692 Julian Battle 1981-07-11: exact 00-0021866; covered [2003]; missing []
 693 Eric Hicks 1976-06-17: exact 00-0007375; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 694 Vonnie Holliday 1975-12-11: fallback_dob 00-0007611; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 695 Eddie Freeman 1978-01-04: exact 00-0021082; covered [2002, 2003]; missing []
 696 R-Kal Truluck 1974-09-30: exact 00-0016635; covered [2002, 2003]; missing []
 698 John Browning 1973-09-30: exact 00-0002090; covered [1996, 1997, 1998, 2000, 2001, 2002, 2003]; missing []
 699 Ryan Sims 1980-05-04: exact 00-0021382; covered [2002, 2003]; missing []
 700 Lional Dalton 1975-02-21: exact 00-0003838; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 702 Tony Richardson 1971-12-17: fallback_dob 00-0013694; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 703 Omar Easy 1977-10-29: exact 00-0021087; covered [2002, 2003]; missing []
 704 Jerome Woods 1973-03-17: exact 00-0018212; covered [1996, 1997, 1998, 1999, 2000, 2001, 2003]; missing []
 705 Shaunard Harts 1978-08-04: exact 00-0020358; covered [2001, 2002, 2003]; missing []
 710 Priest Holmes 1973-10-07: exact 00-0007661; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 711 Larry Johnson 1979-11-19: exact 00-0021976; covered [2003]; missing []
 712 Derrick Blaylock 1979-08-23: exact 00-0020315; covered [2001, 2002, 2003]; missing []
 713 Mike Maslowski 1974-07-11: fallback_dob 00-0010496; covered [1999, 2000, 2001, 2002, 2003]; missing []
 714 Kawika Mitchell 1979-10-10: exact 00-0021970; covered [2003]; missing []
 715 Morten Andersen 1960-08-19: exact 00-0000282; covered [1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 716 Scott Fujita 1979-04-28: exact 00-0021259; covered [2002, 2003]; missing []
 717 Shawn Barber 1975-01-14: exact 00-0000743; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 718 Fred Jones 1977-10-18: exact 00-0019356; covered [2000, 2001, 2003]; missing []
 719 Quinton Caver 1978-08-22: exact 00-0020501; covered [2001, 2002, 2003]; missing []
 721 Jason Baker 1978-05-17: exact 00-0019921; covered [2001, 2002, 2003]; missing []
 722 Trent Green 1970-07-09: exact 00-0006355; covered [1997, 1998, 2001, 2002, 2003]; missing []; unmapped ['2000:LA (team code LA in 2000: ambiguous: use RAM (Rams) or RAI (Raiders))']
 723 Todd Collins 1971-11-05: exact 00-0003315; covered [1995, 1996, 1997, 2001, 2002, 2003]; missing []
 724 Damon Huard 1973-07-09: exact 00-0007835; covered [1998, 1999, 2000, 2002, 2003]; missing []
 725 Greg Wesley 1978-03-19: fallback_dob 00-0019463; covered [2000, 2001, 2002, 2003]; missing []
 726 Clint Finley 1977-03-27: exact 00-0020595; covered [2002]; missing []
 731 Tony Gonzalez 1976-02-27: fallback_dob 00-0006101; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 733 Jason Dunn 1973-11-15: exact 00-0004637; covered [1996, 1997, 1998, 2000, 2001, 2002, 2003]; missing []
 734 Johnnie Morton 1971-10-07: exact 00-0011727; covered [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 735 Eddie Kennison 1973-01-20: exact 00-0009163; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 736 Dante' Hall 1978-09-20: fallback_dob 00-0019539; covered [2000, 2001, 2002, 2003]; missing []
 737 Marc Boerigter 1978-05-04: exact 00-0020583; covered [2002, 2003]; missing []
 741 Kendall Gammon 1968-10-23: exact 00-0005732; covered [1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]; missing []
 742 Patrick Surtain 1976-06-19: exact 00-0015915; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 743 Sam Madison 1974-04-23: fallback_dob 00-0010264; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 744 Reggie Howard 1977-05-17: fallback_dob 00-0019101; covered [2000, 2001, 2002, 2003]; missing []
